ts,funding_edge_bps,entry_dir_l1_bps,net_edge_l1_bps,basis_mid_bps,bn_mark_index_bps,dir_notional5
2026-02-23 14:30:00+00:00,26.3441,71.2058453948905,-45.43015011105187,69.66279001811682,-420.32993262478556,183.40185999999997
2026-02-23 14:31:00+00:00,28.625299999999996,78.20342227513599,-50.56458052518561,76.41787368720342,-447.79914220868136,148.03463
2026-02-23 14:32:00+00:00,32.7988,99.97048132732944,-68.59682022274626,97.79489057129665,-498.0419451742857,139.02430500000003
2026-02-23 14:33:00+00:00,35.74529999999999,103.18750441727254,-69.06877215619568,101.58199538584655,-513.0414285085749,136.41171999999997
2026-02-23 14:34:00+00:00,38.49060000000001,122.0060057219885,-84.60273991110012,119.63647551653133,-554.0890041259861,176.51338
2026-02-23 14:35:00+00:00,40.58480000000001,156.91564896336274,-116.96849008340979,154.88383712215946,-574.9385558794385,110.68499
2026-02-23 14:36:00+00:00,45.3499,159.47065263959504,-116.10197446341635,157.07738703013342,-616.9773536878398,125.33342999999999
2026-02-23 14:37:00+00:00,47.477599999999995,159.56627100407462,-113.00676809842763,157.1555616995124,-647.3480807473076,122.25372000000002
2026-02-23 14:38:00+00:00,50.0338,177.85577082691128,-129.10478318608972,175.2977400348521,-591.7912252523116,138.28725
2026-02-23 14:39:00+00:00,52.09440000000001,193.1547829364244,-141.46463432666908,190.72572554851507,-726.8062199424929,129.85563
2026-02-23 14:40:00+00:00,56.759600000000006,207.71094540236624,-152.30941148242562,205.69118113753282,-631.1112015913301,154.2122
2026-02-23 14:41:00+00:00,56.5406,214.43538998835888,-157.79675881819645,212.56038647343044,-475.3429971690637,188.09519
2026-02-23 14:42:00+00:00,56.650200000000005,210.01465218503546,-153.47405218503548,206.99759714001286,-478.69756974160293,69.20275000000001
2026-02-23 14:43:00+00:00,60.179,194.40582510545033,-136.37727110472972,191.62854637244874,-589.0568341719415,139.20625
2026-02-23 14:44:00+00:00,62.7081,218.96258503401268,-156.9346653895278,214.10341242083408,-667.4608796303338,205.34213
2026-02-23 14:45:00+00:00,63.88120000000001,262.8205128205119,-199.42664937556472,260.93457056743483,-700.527029254141,226.29227
2026-02-23 14:46:00+00:00,64.9112,262.97627263856873,-198.3094949217264,261.5715695483134,-683.9381562638813,249.84081
2026-02-23 14:47:00+00:00,69.6675,270.987167538892,-203.04164030010747,268.82683967167196,-740.735625961515,178.34022
2026-02-23 14:48:00+00:00,70.8362,266.9990173285708,-196.7077311867995,264.3124280782505,-755.9819205932395,180.42476000000002
2026-02-23 14:49:00+00:00,72.95599999999999,302.4989039894788,-229.5909843226336,301.12899696633224,-878.3914980535324,120.85279
2026-02-23 14:50:00+00:00,74.49609999999998,305.5374120037735,-231.62882419648255,303.7380350206309,-888.7632791213484,147.50733
2026-02-23 14:51:00+00:00,79.83629999999998,311.15645267069783,-232.69676769871793,309.1657259386027,-869.4814016042595,142.89532
2026-02-23 14:52:00+00:00,80.03610000000002,328.2576463263731,-248.22154632637307,326.2509735202501,-903.4369894136119,127.73183999999999
2026-02-23 14:53:00+00:00,79.90379999999999,356.97885196374733,-277.07114508126756,354.0613277747373,-853.0529479308701,203.31522999999999
2026-02-23 14:54:00+00:00,78.3698,353.3867416472991,-274.2486948128312,351.078599702942,-726.7214795907073,156.09860500000002
2026-02-23 14:55:00+00:00,80.7345,351.6775971865793,-271.51719934413603,349.734667957895,-698.1754126937257,159.49572999999998
2026-02-23 14:56:00+00:00,79.2533,263.435496111778,-183.24343329409294,258.0679478109438,-638.2675885991684,166.56312
2026-02-23 14:57:00+00:00,77.7375,219.1370308805274,-141.11417240128344,217.6881864764879,-526.7846156043332,264.23717
2026-02-23 14:58:00+00:00,76.57120000000002,205.5715212756115,-128.868547721845,203.71528501609725,-415.07608145473495,211.93457999999998
2026-02-23 14:59:00+00:00,77.2224,184.61963565091776,-107.59737175502707,181.5502037519834,-333.05936105805233,217.20678500000002
2026-02-23 15:00:00+00:00,75.5783,160.37366834633193,-83.68777213542221,156.4868583688983,-388.1547986448974,156.08377
2026-02-23 15:01:00+00:00,75.64320000000001,206.24395308776133,-130.65199353466684,202.65946099694344,-535.3673331602837,188.05270000000002
2026-02-23 15:02:00+00:00,76.32549999999998,218.96442706259788,-142.73639962982216,215.48648237619926,-623.5265261193401,171.07965
2026-02-23 15:03:00+00:00,78.1298,221.25828909402622,-143.7582153013619,218.6484898508756,-624.4054145904976,175.10304
2026-02-23 15:04:00+00:00,77.41920000000002,219.23537843363096,-141.63267204738216,217.14379614305557,-576.4253825645504,156.90404000000004
2026-02-23 15:05:00+00:00,76.2783,206.65687029132408,-130.29038083832222,204.54039877767505,-520.9014763792153,71.66423999999999
2026-02-23 15:06:00+00:00,75.3123,225.16928700297535,-149.58716580354528,223.03087216809513,-555.4418582423382,109.66693000000001
2026-02-23 15:07:00+00:00,76.59570000000001,228.83241597376758,-152.87403251994238,227.19275723019126,-571.8468551911193,88.19614999999999
2026-02-23 15:08:00+00:00,75.6777,221.29592780793405,-144.8378923867745,219.6726509884428,-556.3098734951033,87.942925
2026-02-23 15:09:00+00:00,74.61850000000001,202.98395771947142,-127.8792889457567,199.94849102104916,-538.8626110235506,87.63073
2026-02-23 15:10:00+00:00,73.42539999999998,194.99768260536786,-121.50565755229539,192.7427696313,-499.5248761344295,77.42399
2026-02-23 15:11:00+00:00,73.4651,183.48623853210898,-110.05128036233853,180.95461475313712,-438.50374205309015,92.59864999999999
2026-02-23 15:12:00+00:00,72.8139,174.97833266964858,-102.06370682482284,172.2666978320575,-532.4162985671188,108.32596
2026-02-23 15:13:00+00:00,72.234,163.9496972519794,-91.50370278615482,161.72569732521458,-522.293192097717,87.32062
2026-02-23 15:14:00+00:00,73.33080000000001,158.70043537287603,-85.85828160098666,156.57955468841635,-518.5278707319951,107.53017
2026-02-23 15:15:00+00:00,72.72609999999999,167.0146137787043,-93.94413917275014,164.50622074322018,-543.2070712597348,76.92846
2026-02-23 15:16:00+00:00,72.08970000000002,160.67365655712874,-88.34495854192934,157.65501373464997,-535.1970781190296,151.976115
2026-02-23 15:17:00+00:00,71.9377,173.9883851629842,-102.0506851629842,171.18067768788768,-579.7911662893517,204.05429999999998
2026-02-23 15:18:00+00:00,73.5449,179.78688447636503,-106.51993286923447,177.0608254130135,-569.5161036374429,150.582005
2026-02-23 15:19:00+00:00,72.84169999999999,178.98998518450117,-105.89888274583807,176.60758622615515,-589.1935562099682,169.647645
2026-02-23 15:20:00+00:00,72.87530000000001,185.53573761194042,-112.66043761194042,181.5315312974164,-606.8235078320861,142.522585
2026-02-23 15:21:00+00:00,72.0027,180.86279293438645,-108.72930963372869,177.9964719672056,-561.2178991339212,107.93552
2026-02-23 15:22:00+00:00,73.22739999999999,178.9296878645086,-106.3288906392191,176.46442355287115,-528.4990587491567,146.99825
2026-02-23 15:23:00+00:00,72.21070000000002,181.97472831777972,-109.20204302571285,179.96561018681857,-514.6738466727019,159.03479
2026-02-23 15:24:00+00:00,71.4025,182.62300400936348,-111.03050953133071,181.28499066915492,-501.8707536137601,118.88543999999997
2026-02-23 15:25:00+00:00,69.8905,167.33693893588475,-97.14581827003073,164.82119327769772,-444.7937148963521,201.63419000000002
2026-02-23 15:26:00+00:00,70.09210000000002,166.1722443682212,-96.18690975065121,163.213187068314,-454.1660641449607,116.7761
2026-02-23 15:27:00+00:00,69.32359999999998,177.030471691495,-107.36894939565519,174.95395948434745,-498.8402207063347,117.22628999999999
2026-02-23 15:28:00+00:00,68.83319999999998,184.0548433661271,-115.08897414643116,182.76016094937785,-556.7256129432774,114.46423000000001
2026-02-23 15:29:00+00:00,68.33310000000002,177.5493022366359,-109.09472851642127,174.41491206342087,-434.47979707095686,183.31799
2026-02-23 15:30:00+00:00,68.81750000000002,177.6532210742232,-109.24055434480292,174.3838880945836,-480.81998048145283,95.94847
2026-02-23 15:31:00+00:00,67.70850000000002,183.45843629073767,-115.35919744069218,181.74399626952552,-529.1687034432646,96.93806
2026-02-23 15:32:00+00:00,66.65950000000001,179.33031336104355,-112.27558463230974,177.38695814648818,-539.2694742988746,105.67617
2026-02-23 15:33:00+00:00,65.28760000000001,183.3568406205921,-117.97143912828066,181.48309014286434,-529.0038259577989,144.76432
2026-02-23 15:34:00+00:00,65.4511,171.27644536587772,-105.82534536587772,169.5692564588014,-546.0977301308001,179.35150000000002
2026-02-23 15:35:00+00:00,63.986200000000004,178.90090384660385,-114.91470384660386,177.5085900646456,-451.06027287899917,119.39484
2026-02-23 15:36:00+00:00,63.28509999999999,199.07795473596002,-135.6248548143658,197.09193354986664,-526.3178321899387,180.31384999999997
2026-02-23 15:37:00+00:00,62.217,208.29939255707865,-145.82544624406552,206.740893278885,-522.1983870906932,242.97147999999999
2026-02-23 15:38:00+00:00,62.51860000000001,217.5177387460736,-155.08424582812705,216.23005574499254,-497.637751477833,289.322
2026-02-23 15:39:00+00:00,61.2656,221.23482063927779,-159.33391744527233,220.04861539177244,-515.8140846272407,321.7742850000001
2026-02-23 15:40:00+00:00,60.062500000000014,217.95259472912943,-157.53623397100057,216.92100120963786,-521.3442408109015,224.45596
2026-02-23 15:41:00+00:00,60.39159999999998,208.06181344256157,-147.7956071644714,207.11849868807474,-516.3493166923028,227.440995
2026-02-23 15:42:00+00:00,59.277800000000006,204.27630813615315,-144.29833782455816,202.80175924417554,-522.0417405637312,192.46728
2026-02-23 15:43:00+00:00,58.10409999999999,211.4831648270088,-153.37906482700882,209.85982336122922,-516.533722935667,222.80443
2026-02-23 15:44:00+00:00,56.888400000000004,240.4301377004614,-182.57795103586318,238.28444707781892,-561.345798634727,243.073
2026-02-23 15:45:00+00:00,57.24760000000003,231.58631959845798,-174.37210422482798,230.48526903576948,-545.5380574039159,182.682825
2026-02-23 15:46:00+00:00,57.24760000000003,232.2871647677527,-175.03956476775267,230.6482295406842,-545.5380574039159,203.57620500000002
2026-02-23 15:47:00+00:00,54.25120000000002,208.57090216720664,-154.31970216720663,206.634420902867,-501.15086260342554,144.062685
2026-02-23 15:48:00+00:00,53.08429999999999,200.94425192455301,-147.4189170012336,199.8325036058257,-495.3013878964374,114.45371000000002
2026-02-23 15:49:00+00:00,53.215199999999996,202.63825233231668,-149.5539523323167,201.50781831719922,-490.3000839623428,178.46319
2026-02-23 15:50:00+00:00,53.215199999999996,197.92538840822436,-145.0434145434889,196.2586379394571,-490.3000839623428,181.09227
2026-02-23 15:51:00+00:00,50.78780000000001,198.63236730706558,-147.47679197046415,196.84172720215943,-471.6559076186755,192.42053999999996
2026-02-23 15:52:00+00:00,49.968500000000006,194.14077859402636,-143.8431085043079,192.8901293468943,-501.90779652959037,147.066
2026-02-23 15:53:00+00:00,50.66899999999999,189.83351623975688,-139.46087324602394,188.49264064227046,-535.6777194148154,127.85352999999998
2026-02-23 15:54:00+00:00,49.6605,197.4113045907444,-147.43608182601218,195.57625145518065,-495.40493509421356,179.66134999999997
2026-02-23 15:55:00+00:00,48.447,207.90986725981787,-159.25435979716775,206.8284101396367,-514.563312460985,161.562065
2026-02-23 15:56:00+00:00,47.3407,203.48939043880353,-155.81011606845254,202.21787369769538,-520.5033892029031,148.11811
2026-02-23 15:57:00+00:00,47.53170000000001,203.41192077641068,-156.02294569859816,202.4362151408332,-501.8822196257733,225.49896
2026-02-23 15:58:00+00:00,46.31649999999998,203.99144026795656,-157.10564162830667,202.5313510620963,-485.437069236897,182.43212
2026-02-23 15:59:00+00:00,45.09889999999999,217.34582393825974,-171.1963085700973,216.29046715481383,-494.6327145357288,264.53347
